Event id,Event name,Taxon,Type,Level-Placed
3561,L_Cymatiosphaera celtica,Cymatiosphaera celtica,1,1720.5739
1156,F_Granatodontus primitivus,Granatodontus primitivus,0,1725.1656
1243,F_Homotreta pacifica,Homotreta pacifica,0,1725.1656
1216,F_Hirsutodontus hirsutus,Hirsutodontus hirsutus,0,1725.1795
2795,F_Teridontus nakamurai,Teridontus nakamurai,0,1725.1795
3338,L_Chaoaspis conicus,Chaoaspis conicus,1,1725.1795
3339,L_Chaoaspis ovatus,Chaoaspis ovatus,1,1725.1795
4189,L_Helosphaeridium clavispinulosum,Helosphaeridium clavispinulosum,1,1725.1795
5728,L_Strophomorpha ovata,Strophomorpha ovata,1,1725.1795
4416,L_Leiofusa algerensis,Leiofusa algerensis,1,1725.4071
2342,F_Protolenella conica,Protolenella conica,0,1733.0726
935,F_Eoconodontus notchpeakensis,Eoconodontus notchpeakensis,0,1773.6889
506,F_Cordylodus proavus,Cordylodus proavus,0,1774.6029
2794,F_Teridontus huanghuachangensis,Teridontus huanghuachangensis,0,1776.458
1241,F_Homotreta lisani,Homotreta lisani,0,1776.9256
2634,F_Semiacontiodus nogamii,Semiacontiodus nogamii,0,1776.9256
1219,F_Hirsutodontus simplex,Hirsutodontus simplex,0,1782.715
2633,F_Semiacontiodus lavadamensis,Semiacontiodus lavadamensis,0,1782.715
3897,L_Dyadospora murusattenuata,Dyadospora murusattenuata,1,1782.715
1699,F_Monocostodus sevierensis,Monocostodus sevierensis,0,1784.8771
5619,L_Semiacontiodus lavadamensis,Semiacontiodus lavadamensis,1,1800.3654
4202,L_Hirsutodontus hirsutus,Hirsutodontus hirsutus,1,1801.3865
4204,L_Hirsutodontus rarus,Hirsutodontus rarus,1,1801.3865
3526,L_Coscinocyathus liangshuijingensis,Coscinocyathus liangshuijingensis,1,1802.9903
184,F_Arthricocephalus duyunensis,Arthricocephalus duyunensis,0,1844.5027
5812,L_Tetrahedraletes medinensis,Tetrahedraletes medinensis,1,1844.5027
3170,L_Arthricocephalus duyunensis,Arthricocephalus duyunensis,1,1862.2416
185,F_Arthricocephalus tenuis,Arthricocephalus tenuis,0,1864.4224
1242,F_Homotreta orientalis,Homotreta orientalis,0,1864.4224
598,F_Dakeoceras yangtzeense,Dakeoceras yangtzeense,0,1878.9226
1400,F_Kunshanaspis suzhouensis,Kunshanaspis suzhouensis,0,1881.5505
1245,F_Homotreta shantungensis,Homotreta shantungensis,0,1882.3627
2982,F_Zhongnanoceras yichangense,Zhongnanoceras yichangense,0,1882.3627
3171,L_Arthricocephalus tenuis,Arthricocephalus tenuis,1,1882.3627
3580,L_Dactylofusa cabottii,Dactylofusa cabottii,1,1882.3627
4386,L_Kunshanaspis suzhouensis,Kunshanaspis suzhouensis,1,1882.3627
597,F_Dakeoceras minosiphonatum,Dakeoceras minosiphonatum,0,1882.4158
1773,F_Neoeburoceras hubeiense,Neoeburoceras hubeiense,0,1882.4158
2049,F_Paraloshanella changningensis,Paraloshanella changningensis,0,1882.4158
2942,F_Xiadongoceras clinoseptatum,Xiadongoceras clinoseptatum,0,1882.4158
4229,L_Homotreta pacifica,Homotreta pacifica,1,1882.4158
348,F_Changaspis taihuensis,Changaspis taihuensis,0,1882.9628
2032,F_Paraeburoceras yichangense,Paraeburoceras yichangense,0,1882.9628
349,F_Changjiangoceras elegantum,Changjiangoceras elegantum,0,1888.5609
5035,L_Paraloshanella changningensis,Paraloshanella changningensis,1,1888.5609
130,F_Anguloceras orientale,Anguloceras orientale,0,1898.4568
921,F_Ellesmeroceroides densus,Ellesmeroceroides densus,0,1898.4568
